name,smiles,pka_exp,pka_theor,ref,E_neutral,lst_smiles_deprot,lst_name_deprot,lst_E,lst_E_rel,lst_pKa,lst_atomsite,gfn_method,solvent_model,solvent_name,file
furan,O1C=CC=C1,35.0,35.0,5a,-9595.82380756816,"['[C-]1=CC=CO1', '[C-]1=COC=C1']","['furan#-1=2', 'furan#-1=3']","[-9395.793654314173, -9393.17621670316]","[200.030153253987, 202.6475908650009]","[35.0, 36.9]","[2, 3]",gfn   1,alpb,DMSO,36405291_0_result.pkl
thiophene,S1C=CC=C1,32.5,33.5,5a,-8964.806360192932,"['[C-]1=CC=CS1', '[C-]1=CSC=C1']","['thiophene#-1=2', 'thiophene#-1=3']","[-8765.104594066052, -8760.672880015574]","[199.7017661268801, 204.13348017735734]","[34.8, 38.0]","[2, 3]",gfn      1,alpb,DMSO,36405291_0_result.pkl
"N,N-dimethyl-1H-pyrrol-1-amine",CN(N1C=CC=C1)C,36.4,38.7,5a,-15324.22110776581,"['CN(C)N1[C-]=CC=C1', 'CN(C)N1C=[C-]C=C1', '[CH2-]N(C)N1C=CC=C1']","['N,N-dimethyl-1H-pyrrol-1-amine#-1=4', 'N,N-dimethyl-1H-pyrrol-1-amine#-1=5', 'N,N-dimethyl-1H-pyrrol-1-amine#-1=1']","[-15122.60689986009, -15111.15791714897, -15120.014863367596]","[201.61420790572083, 213.06319061684007, 204.20624439821404]","[36.2, 44.6, 38.1]","[4, 5, 1]",gfn          1,alpb,DMSO,36405291_0_result.pkl
1-methyl-1H-imidazole,CN1C=CN=C1,33.1,35.1,5a,-11334.425518589691,"['CN1[C-]=CN=C1', 'CN1[C-]=NC=C1', 'CN1C=[C-]N=C1', '[CH2-]N1C=CN=C1']","['1-methyl-1H-imidazole#-1=3', '1-methyl-1H-imidazole#-1=6', '1-methyl-1H-imidazole#-1=4', '1-methyl-1H-imidazole#-1=1']","[-11133.427329189315, -11130.725809739643, -11119.185073368224, -11143.793227365772]","[200.99818940037585, 203.6997088500484, 215.24044522146687, 190.6322912239193]","[35.7, 37.7, 46.2, 28.1]","[3, 6, 4, 1]",gfn               1,alpb,DMSO,36405291_0_result.pkl
thiazole,S1C=CN=C1,29.4,29.6,5b,-9303.623441315416,"['[C-]1=CN=CS1', '[C-]1=CSC=N1', '[C-]1=NC=CS1']","['thiazole#-1=2', 'thiazole#-1=3', 'thiazole#-1=5']","[-9110.000607994762, -9100.344798304646, -9106.259790640717]","[193.62283332065454, 203.27864301076988, 197.36365067469887]","[30.3, 37.4, 33.0]","[2, 3, 5]",gfn                   1,alpb,DMSO,36405291_0_result.pkl
1-propyl-1H-pyrazole,CCCN1N=CC=C1,35.2,35.2,5a,-15343.24796243565,"['CCCN1[C-]=CC=N1', 'CCCN1C=[C-]C=N1', 'CCCN1C=C[C-]=N1', 'CC[CH-]N1C=CC=N1', 'C[CH-]CN1C=CC=N1', '[CH2-]CCN1C=CC=N1']","['1-propyl-1H-pyrazole#-1=8', '1-propyl-1H-pyrazole#-1=7', '1-propyl-1H-pyrazole#-1=6', '1-propyl-1H-pyrazole#-1=3', '1-propyl-1H-pyrazole#-1=2', '1-propyl-1H-pyrazole#-1=1']","[-15147.169450558556, -15136.638020832806, -15129.870483571425, -15157.868589113263, -15139.292072472024, -15135.977046510223]","[196.07851187709275, 206.6099416028428, 213.37747886422403, 185.37937332238653, 203.95588996362494, 207.27091592542638]","[32.1, 39.8, 44.8, 24.3, 37.9, 40.3]","[8, 7, 6, 3, 2, 1]",gfn                          1,alpb,DMSO,36405291_0_result.pkl
1-methyl-1H-indole,CN(C=C1)C2=C1C=CC=C2,37.3,37.7,5a,-16987.21546115334,"['CN1[C-]=CC2=C1C=CC=C2', 'CN1C=[C-]C2=C1C=CC=C2', 'CN1C=CC2=C1C=CC=[C-]2', 'CN1C=CC2=C1C=C[C-]=C2', 'CN1C=CC2=C1C=[C-]C=C2', 'CN1C=CC2=C1[C-]=CC=C2', '[CH2-]N1C=CC2=C1C=CC=C2']","['1-methyl-1H-indole#-1=3', '1-methyl-1H-indole#-1=4', '1-methyl-1H-indole#-1=7', '1-methyl-1H-indole#-1=8', '1-methyl-1H-indole#-1=9', '1-methyl-1H-indole#-1=10', '1-methyl-1H-indole#-1=1']","[-16789.75498383347, -16781.476056453805, -16779.445947608085, -16778.631134054347, -16779.642084762912, -16785.71636708639, -16795.59615645139]","[197.46047731986982, 205.73940469953595, 207.7695135452559, 208.58432709899353, 207.57337639042817, 201.49909406695224, 191.61930470195148]","[33.1, 39.2, 40.7, 41.3, 40.5, 36.1, 28.8]","[3, 4, 7, 8, 9, 10, 1]",gfn                                  1,alpb,DMSO,36405291_0_result.pkl
benzo[b]thiophene,C1(SC=C2)=C2C=CC=C1,32.9,32.0,5a,-14958.630830647475,"['[C-]1=CC2=C(C=CC=C2)S1', '[C-]1=CC2=C(C=C1)C=CS2', '[C-]1=CC2=C(C=C1)SC=C2', '[C-]1=CC=CC2=C1SC=C2', '[C-]1=CC=CC2=C1C=CS2', '[C-]1=CSC2=C1C=CC=C2']","['benzo[b]thiophene#-1=3', 'benzo[b]thiophene#-1=8', 'benzo[b]thiophene#-1=7', 'benzo[b]thiophene#-1=9', 'benzo[b]thiophene#-1=6', 'benzo[b]thiophene#-1=4']","[-14766.111353420123, -14756.256546549515, -14755.113290990465, -14758.668652123188, -14756.34372519763, -14762.287054866942]","[192.51947722735167, 202.3742840979594, 203.51753965701027, 199.96217852428708, 202.2871054498446, 196.34377578053318]","[29.5, 36.7, 37.6, 35.0, 36.7, 32.3]","[3, 8, 7, 9, 6, 4]",gfn                                         1,alpb,DMSO,36405291_0_result.pkl
benzofuran,C1(OC=C2)=C2C=CC=C1,32.7,33.2,5b,-15588.401573338877,"['[C-]1=CC2=C(C=CC=C2)O1', '[C-]1=CC2=C(C=C1)C=CO2', '[C-]1=CC2=C(C=C1)OC=C2', '[C-]1=CC=CC2=C1OC=C2', '[C-]1=CC=CC2=C1C=CO2', '[C-]1=COC2=C1C=CC=C2']","['benzofuran#-1=3', 'benzofuran#-1=8', 'benzofuran#-1=7', 'benzofuran#-1=9', 'benzofuran#-1=6', 'benzofuran#-1=4']","[-15397.413168816844, -15387.71360484016, -15386.581691201092, -15392.527926069839, -15388.0104264153, -15394.072293961455]","[190.9884045220333, 200.68796849871615, 201.8198821377846, 195.87364726903797, 200.39114692357725, 194.3292793774217]","[28.4, 35.5, 36.3, 32.0, 35.3, 30.8]","[3, 8, 7, 9, 6, 4]",gfn                                                1,alpb,DMSO,36405291_0_result.pkl
benzo[d]oxazole,C1(OC=N2)=C2C=CC=C1,24.4,24.8,5b,-15927.53311840136,"['[C-]1=CC2=C(C=C1)N=CO2', '[C-]1=CC2=C(C=C1)OC=N2', '[C-]1=CC=CC2=C1OC=N2', '[C-]1=CC=CC2=C1N=CO2', '[C-]1=NC2=C(C=CC=C2)O1']","['benzo[d]oxazole#-1=8', 'benzo[d]oxazole#-1=7', 'benzo[d]oxazole#-1=9', 'benzo[d]oxazole#-1=6', 'benzo[d]oxazole#-1=3']","[-15729.973318218676, -15728.977442085485, -15735.197879169142, -15732.11202457684, -15743.246007079624]","[197.55980018268383, 198.55567631587473, 192.33523923221765, 195.42109382451963, 184.2871113217352]","[33.2, 33.9, 29.4, 31.6, 23.5]","[8, 7, 9, 6, 3]",gfn                                                      1,alpb,DMSO,36405291_0_result.pkl
furan,O1C=CC=C1,35.0,35.0,5a,-9193.625029839237,"['[C-]1=CC=CO1', '[C-]1=COC=C1']","['furan#-1=2', 'furan#-1=3']","[-8995.82790190762, -8986.317282436006]","[197.79712793161707, 207.30774740323068]","[35.0, 42.0]","[2, 3]",gfn   2,alpb,DMSO,36405294_0_result.pkl
thiophene,S1C=CC=C1,32.5,33.5,5a,-8675.292033919015,"['[C-]1=CC=CS1', '[C-]1=CSC=C1']","['thiophene#-1=2', 'thiophene#-1=3']","[-8484.1649456893, -8479.065246324202]","[191.1270882297158, 196.22678759481278]","[30.1, 33.8]","[2, 3]",gfn      2,alpb,DMSO,36405294_0_result.pkl
"N,N-dimethyl-1H-pyrrol-1-amine",CN(N1C=CC=C1)C,36.4,38.7,5a,-14917.306115313177,"['CN(C)N1[C-]=CC=C1', 'CN(C)N1C=[C-]C=C1', '[CH2-]N(C)N1C=CC=C1']","['N,N-dimethyl-1H-pyrrol-1-amine#-1=4', 'N,N-dimethyl-1H-pyrrol-1-amine#-1=5', 'N,N-dimethyl-1H-pyrrol-1-amine#-1=1']","[-14707.65734099641, -14695.479405204398, -14706.995661843892]","[209.64877431676723, 221.82671010877857, 210.31045346928477]","[43.7, 52.6, 44.2]","[4, 5, 1]",gfn          2,alpb,DMSO,36405294_0_result.pkl
1-methyl-1H-imidazole,CN1C=CN=C1,33.1,35.1,5a,-10969.03435534727,"['CN1[C-]=CN=C1', 'CN1[C-]=NC=C1', 'CN1C=[C-]N=C1', '[CH2-]N1C=CN=C1']","['1-methyl-1H-imidazole#-1=3', '1-methyl-1H-imidazole#-1=6', '1-methyl-1H-imidazole#-1=4', '1-methyl-1H-imidazole#-1=1']","[-10767.949820130612, -10766.73988113525, -10753.719835496366, -10781.66496516608]","[201.08453521665797, 202.29447421201985, 215.31451985090462, 187.3693901811912]","[37.4, 38.3, 47.8, 27.4]","[3, 6, 4, 1]",gfn               2,alpb,DMSO,36405294_0_result.pkl
thiazole,S1C=CN=C1,29.4,29.6,5b,-8851.789783876371,"['[C-]1=CN=CS1', '[C-]1=CSC=N1', '[C-]1=NC=CS1']","['thiazole#-1=2', 'thiazole#-1=3', 'thiazole#-1=5']","[-8670.443516135732, -8663.120737908916, -8672.155642395663]","[181.34626774063872, 188.66904596745553, 179.63414148070842]","[22.9, 28.3, 21.7]","[2, 3, 5]",gfn                   2,alpb,DMSO,36405294_0_result.pkl
1-propyl-1H-pyrazole,CCCN1N=CC=C1,35.2,35.2,5a,-14932.612375574452,"['CCCN1[C-]=CC=N1', 'CCCN1C=[C-]C=N1', 'CCCN1C=C[C-]=N1', 'CC[CH-]N1C=CC=N1', 'C[CH-]CN1C=CC=N1', '[CH2-]CCN1C=CC=N1']","['1-propyl-1H-pyrazole#-1=8', '1-propyl-1H-pyrazole#-1=7', '1-propyl-1H-pyrazole#-1=6', '1-propyl-1H-pyrazole#-1=3', '1-propyl-1H-pyrazole#-1=2', '1-propyl-1H-pyrazole#-1=1']","[-14733.596932763967, -14720.023371305555, -14717.155541461283, -14742.00116844923, -14723.031989645391, -14719.531568385908]","[199.01544281048518, 212.58900426889704, 215.45683411316895, 190.6112071252228, 209.58038592906087, 213.080807188544]","[35.9, 45.8, 47.9, 29.7, 43.6, 46.2]","[8, 7, 6, 3, 2, 1]",gfn                          2,alpb,DMSO,36405294_0_result.pkl
1-methyl-1H-indole,CN(C=C1)C2=C1C=CC=C2,37.3,37.7,5a,-16817.57618728281,"['CN1[C-]=CC2=C1C=CC=C2', 'CN1C=[C-]C2=C1C=CC=C2', 'CN1C=CC2=C1C=CC=[C-]2', 'CN1C=CC2=C1C=C[C-]=C2', 'CN1C=CC2=C1C=[C-]C=C2', 'CN1C=CC2=C1[C-]=CC=C2', '[CH2-]N1C=CC2=C1C=CC=C2']","['1-methyl-1H-indole#-1=3', '1-methyl-1H-indole#-1=4', '1-methyl-1H-indole#-1=7', '1-methyl-1H-indole#-1=8', '1-methyl-1H-indole#-1=9', '1-methyl-1H-indole#-1=10', '1-methyl-1H-indole#-1=1']","[-16614.099834129796, -16601.66621260341, -16599.833451456107, -16597.841913481705, -16599.786026508315, -16605.355205390766, -16622.92621826443]","[203.47635315301522, 215.90997467940178, 217.74273582670503, 219.7342738011066, 217.79016077449705, 212.22098189204553, 194.64996901838094]","[39.2, 48.3, 49.6, 51.1, 49.7, 45.6, 32.7]","[3, 4, 7, 8, 9, 10, 1]",gfn                                  2,alpb,DMSO,36405294_0_result.pkl
benzo[b]thiophene,C1(SC=C2)=C2C=CC=C1,32.9,32.0,5a,-14703.186807373784,"['[C-]1=CC2=C(C=CC=C2)S1', '[C-]1=CC2=C(C=C1)C=CS2', '[C-]1=CC2=C(C=C1)SC=C2', '[C-]1=CC=CC2=C1SC=C2', '[C-]1=CC=CC2=C1C=CS2', '[C-]1=CSC2=C1C=CC=C2']","['benzo[b]thiophene#-1=3', 'benzo[b]thiophene#-1=8', 'benzo[b]thiophene#-1=7', 'benzo[b]thiophene#-1=9', 'benzo[b]thiophene#-1=6', 'benzo[b]thiophene#-1=4']","[-14515.855531958652, -14498.507444191297, -14495.885811505, -14499.531328741105, -14499.93181391936, 60000.0]","[187.33127541513204, 204.67936318248758, 207.3009958687835, 203.65547863267966, 203.25499345442404, 74703.18680737379]","[27.3, 40.0, 42.0, 39.3, 39.0, 54653.4]","[3, 8, 7, 9, 6, 4]",gfn                                         2,alpb,DMSO,36405294_0_result.pkl
benzofuran,C1(OC=C2)=C2C=CC=C1,32.7,33.2,5b,-15220.33460186982,"['[C-]1=CC2=C(C=CC=C2)O1', '[C-]1=CC2=C(C=C1)C=CO2', '[C-]1=CC2=C(C=C1)OC=C2', '[C-]1=CC=CC2=C1OC=C2', '[C-]1=CC=CC2=C1C=CO2', '[C-]1=COC2=C1C=CC=C2']","['benzofuran#-1=3', 'benzofuran#-1=8', 'benzofuran#-1=7', 'benzofuran#-1=9', 'benzofuran#-1=6', 'benzofuran#-1=4']","[-15028.412874619495, -15011.765314713328, -15009.821662471939, -15015.167719944915, -15012.43220221644, -15018.572092256814]","[191.9217272503247, 208.56928715649155, 210.51293939788047, 205.16688192490437, 207.9023996533797, 201.76250961300502]","[30.7, 42.9, 44.3, 40.4, 42.4, 37.9]","[3, 8, 7, 9, 6, 4]",gfn                                                2,alpb,DMSO,36405294_0_result.pkl
